Solyc10g086580.2	GO:0006281; GO:0006338; GO:0035267; GO:0043967; GO:0043968
Solyc02g065770.3	GO:0006614; GO:0008312; GO:0048500
Solyc05g050770.3	GO:0005515
Solyc05g055845.1	GO:0004030; GO:0006081; GO:0055114
Solyc12g042010.1	GO:0004553; GO:0005975
Solyc10g083570.2	GO:0003677
Solyc02g063360.3	GO:0004672; GO:0005524; GO:0006468
Solyc01g096410.3	GO:0003676; GO:0008270
Solyc05g013630.1	GO:0008168
Solyc01g087790.2	GO:0005524; GO:0006298; GO:0030983
Solyc12g099200.2	GO:0005515
Solyc11g065350.2	GO:0016491; GO:0055114
Solyc05g053070.3	GO:0003723; GO:0003746; GO:0006452; GO:0043022; GO:0045901; GO:0045905
Solyc02g071100.3	GO:0016491
Solyc01g107900.3	GO:0008152; GO:0016758
Solyc01g110570.3	GO:0006952; GO:0009607
Solyc07g063170.1	GO:0016651; GO:0042773; GO:0055114
Solyc08g005420.3	GO:0003950
Solyc07g064900.3	GO:0006412
Solyc05g009550.3	GO:0004672; GO:0006468
Solyc06g069000.3	GO:0009055; GO:0016020; GO:0016491
Solyc11g011630.2	GO:0043169
Solyc12g009300.3	GO:0004822
Solyc02g071080.2	GO:0008270
Solyc02g071090.3	GO:0008270; GO:0016491
Solyc04g064900.1	GO:0005515
Solyc12g015690.2	GO:0006886; GO:0006888; GO:0008270; GO:0030127
Solyc06g051460.3	GO:0005515
Solyc06g075550.3	GO:0009522; GO:0009579; GO:0015979; GO:0016021
Solyc09g090390.2	GO:0003676
Solyc09g074630.3	GO:0006511; GO:0031461; GO:0031625
Solyc09g014740.3	GO:0016491; GO:0055114
Solyc01g107890.3	GO:0004764; GO:0055114
Solyc06g082500.3	GO:0009055; GO:0016020; GO:0016491
Solyc08g076790.3	GO:0004553; GO:0005975
Solyc07g065540.1	GO:0005515
Solyc05g014120.1	GO:0004553; GO:0005975
Solyc07g039310.1	GO:0003723; GO:0006355
Solyc12g044300.2	GO:0005524
Solyc02g078570.3	GO:0005515
Solyc05g005700.3	GO:0003677
